an-rumpeln	stark anfahren, hart anlassen	6333	
ein-wenden	mit dem Pflug noch vor dem (schmäler werdenden) Ackerende wenden	7404	
Pecke	dummes, rohes Frauenzimmer	6137	
durch-fahren	energisch durchgreifen, um Ordnung zu schaffen	6420	
Muckser	Bewegung, Zuckung	5500	
Dechsel	nach innen gebogene Queraxt zum Zuhauen der Radkränze	7520	
stecken-beinig	mager, dünn, knochig (von Beinen)	5210	
Fleisch-griebe	ausgekochter Fettwürfel	5911	
er-wachsen	ausgewachsen, zur vollen Höhe herangewachsen	3020	
Lausterer, Läusterer	wer bei einer Gerichtsverhandlung zuhört, ob alles richtig zugeht	8300	
hin-grenzen	mit etwas in Berührung kommen	9312	
Huf-rehe	eine Pferdekrankheit mit Fußschwäche und falschem Stehen als Merkmal	4112	
feisten	leise furzen	5340	
Rütsche, Rutsche	Lattenrost zum Abladen der Kartoffeln und Rüben	7800	
Wasser-kuh	Gelbrandkäfer (Dytiscus marginalis)	4700	
besemig	in Art eines Besens	9220	
spinnen	Spinnfäden ziehen, ein Netz oder Kokon weben (von Spinnen, Rauben)	4700	
Hexen-drücken	Druck auf der Brust während des Schlafens	5700	
Hunds-knute	Hundepeitsche	7450	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 3, Kennung -, Zeile 15555); 1 weitere Kandidat(en) ignoriert
Geigen-mann	Hausgrille	4700	MEHRDEUTIG (13 Treffer) - erster Treffer gewaehlt (Band 3, Kennung 2b, Zeile 1685); 12 weitere Kandidat(en) ignoriert
Katzen-jammer	unangenehme Nachwehen eines Rausches	5925	
Un-schlitt	sehnige, schlecht genießbare Teile im Fleisch	5910	
Traget, Tragets	große Menge getrunkenen Alkohols	5925	
Schnaps-rausch	durch Genuß von zuviel Schnaps eintretende Bewußtseinsverwirrung	5925	
Zelg-holz	dürres Holz (Kiefer, Föhre)	7550	
Krümel	der aus Erde, Asche, Dung, Speiseresten und Jauche hergerichtete Kompost	7480	
Speck-sau	gut gemästetes, fettes Schwein	4113	
Klutter	Kotklümpchen an Schwanz und Hinterteil der Kühe	4111	
Herd-kessel	Wasserbehälter beim Küchenherd	7740	
Haft	Sicherungsverwahrung	8300	
stehen	aufrecht auf den Füßen (Wurzeln, einer Basis usw.) stehen	9230	
hocken-bleiben	lang ausbleiben	5920	"eindeutig ueber Volltext ""(abends) lang ausbleiben"" (fuehrender Klammerzusatz entfernt)"
Trockenung	Trockenheit, Dürre	2200	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 2, Kennung -, Zeile 5461); 1 weitere Kandidat(en) ignoriert
Moke, Mocke	Zuchtsau, Muttersau	4113	
Wäsch-schüssel	Schüssel, Becken zur Körperwäsche	5940	
Spindel	alte Uhr	7500	
Ge-fährt(s)	schlecht funktionierende Einrichtung, alte Maschine	7500	
auf-reiben	aufdrehen	5520	
Ge-schirr	Werkzeug des Schusters	7540	
Bodem-lerche	Feldlerche (Alauda croensis)	4210	
aus-füllen	einen Vordruck	8400	
Wein-krug	irdene Kanne	7735	"eindeutig ueber Volltext ""(meist) irdene Kanne"" (fuehrender Klammerzusatz entfernt)"
Spreng-wagen	Wagen, auf dem ein Wasserfaß mit Gießwasser steht	7403	
Luß-schwein	Scheltwort des Schäfers für das Schaf	4114	
Hochzeit(s)-ring	Ehering	5938	
Schmiererin	weibliche Person, die schlecht schreibt und malt	8400	
Schraube	Spindel der Kelter	7470	
heraus-bringen	herausholen (Worte)	7200	
Schüppe	Lippe, herabhängende oder vorstehende Unterlippe	5200	"eindeutig ueber Volltext ""(derb) Lippe, herabhängende oder vorstehende Unterlippe"" (fuehrender Klammerzusatz entfernt)"
Kreolin	älterer Tuchstoff	5931	MEHRDEUTIG (3 Treffer) - erster Treffer gewaehlt (Band 4, Kennung -, Zeile 6589); 2 weitere Kandidat(en) ignoriert
Dackel	Neckn	8150	MEHRDEUTIG (601 Treffer) - erster Treffer gewaehlt (Band 2, Kennung 2a'b, Zeile 275); 600 weitere Kandidat(en) ignoriert
rösten, rosten	Hanf oder Flachs in der Röze mürbe machen	7490	
gut	zuverlässig, treu	6510	
Berg-land	hügeliges Land	2800	
maulen	widersprechen, frech antworten	6440	
bei-tragen	herbeitragen, heranbringen	7800	
Kramster	Gerümpel, Abfälle, Schmutz	9320	
Dreck-kathel	unordentliche Frau	6134	MEHRDEUTIG (13 Treffer) - erster Treffer gewaehlt (Band 2, Kennung -, Zeile 4685); 12 weitere Kandidat(en) ignoriert
Knochen-suppe	Brühe aus Knochen gekocht, Kraftbrühe	5911	
Reblaus-kommissar	Aufsichtsbeamter für den Weinbau	7470	
ver-recheln, -rechnen	in Rechnung stellen	7600	
Bätzen	Kleiner Grasplatz	7450	
da, dä(r)	Hinweis zur Erregung der Aufmerksamkeit beim Überreichen eines Gegenstandes	1230	
Schambrere	Abrichtepeitsche (des Reitlehrers)	4112	
Mutzen, Mutze	dicker Kuchen	5911	
herüber-laufen	von der anderen Seite zum Sprecher laufen	5531	
Auge	Loch im Stock des Ankers, zur Aufnahme des Bolzens	7500	
Emberling	Champignon (Psalliota camp.)	3500	
Gatz-vogel	Spaßmacher, der andere gern neckt und zum besten hält	7220	
auf-fassen	deuten	6250	
krumm	böse schauen, für böse auslegen	6333	"eindeutig ueber Volltext ""(Verb.) böse schauen, für böse auslegen"" (fuehrender Klammerzusatz entfernt)"
Stink-bock, Stinken-	ein fauler Mensch	6114	
Orts-arme	die Armen des Ortes	7010	
Stroh-binder	Strohbindevorrichtung an der Dreschmaschine	7402	
wenig	nicht viel	9400	
Mauser	Huhn, das sich mausert	4240	
Trauer-mantel	schwarzer Frauenmantel, der zur Trauer getragen wird	5934	
Hau-hepe	sichelartiges Messer zum Hauen von Reisern	7402	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 3, Kennung -, Zeile 8563); 1 weitere Kandidat(en) ignoriert
Schwanz	Ende, Schluß	9314	
Esels-brücke	Hilfsmittel zum leichteren Behalten des Lehrstoffs u. dgl.	8400	
Mumms	Schnabeltasse	7736	
Kaffee-kopf, -köpfchen	Kaffeetasse ohne Henkel	7735	"eindeutig ueber Volltext ""(kleine) Kaffeetasse ohne Henkel"" (fuehrender Klammerzusatz entfernt)"
Platt-kopf	Doldenschirm der wilden Gelbrübe	3400	
panieren	Fleisch vor dem Braten in Eiweiß und Semmelbrösel oder Paniermehl hüllen	7780	
Krampen	im Scheuchruf für Rindvieh	7451	
Tasche, Täsche	Einstecktasche im Buch	8400	
Bauung	Feldbestellung	7430	
suck	Lockruf für Kühe	7451	
Feld-karst	im Feld gebrauchter Karst	7402	
Steigbügel-salat	Selleriesalat	5911	
Stink-bombe	kleine Kapsel mit stinkendem Inhalt	5430	
durch-reißen	entkommen	5532	
Graue	die Pilzkrankheit Oidium	7470	
Stich, Stichen	Merkmal der Eibefruchtung	5350	
Eß-klinge	Feuerhaken, mit dem der Schmied in der Esse hantiert	7530	
Weißen-burg	Stadt im Elsaß	8130	
Scher(en)-schleifer, -schliffer, -schleif, -schliff	unnützer, unbrauchbarer Hund	4117	
Einschmier-bürste, -bürstchen	kleine Bürste zum Auftragen der Schuhcreme	5937	
Garten	Baumschule im Wald	7550	
Beruf-kraut	Aster erigeron	3500	
Gockel, Göckel, Gokel, Gökel	Tannen- oder Fichtenzapfen	3110	
Finne	Larve des Bandwurms	4500	
Zahn-blecker, -blicker	vom Regen aufgesprungene Trauben	7470	
Fetzen	verächtlich von Kleidern überhaupt	5934	
Nase	nasenförmiger Vorsprung am Schließkloben der Tür, am Türschloß	7720	
durch-gucken	durch etwas hindurchschauen	5410	
Sersch	Stück Gewebe, im bes. Decke, Teppich	5930	
los-gehen	durchgehen, ausreißen (von Pferden)	4112	
ab-zackern	entwenden	8320	MEHRDEUTIG (10 Treffer) - erster Treffer gewaehlt (Band 1, Kennung 2b, Zeile 1445); 9 weitere Kandidat(en) ignoriert
Gewürz-schank, -schänkchen, -schränkchen	Schränkchen mit Fächern und Schubladen für Gewürze	7740	
Birnen-traben	Rückstand beim Keltern von Birnen	7480	
Schlüssel-acker	Acker mit winkelförmigem Grundriß	7420	
Schnurrant	herumziehender, müßiggehender junger Bursche	6124	
Simsen-wiese	feuchte, saure Wiese	7450	
Pferds-kummet	Pferdekummet	7403	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 1, Kennung -, Zeile 9482); 1 weitere Kandidat(en) ignoriert
Kleber	Klebstoff	7500	
Einmach-pfirsiche	Pfirsiche zum Einmachen, auch eingemachte Pfirsiche	3120	
Etter-stange	Stange im (geflochtenen) Dorfzaun	7520	
Wiede	Rute zum Verabreichen von Prügeln	5521	"eindeutig ueber Volltext ""(W) Rute zum Verabreichen von Prügeln"" (fuehrender Klammerzusatz entfernt)"
Reuse-loch	Aussparung für die Fischreuse	7570	
Presse	Werkzeug zum Pressen	7500	
Blinzel-pinchen	Mädchen, das häufig mit den Augen blinzelt	5160	
visieren	zielen	8500	
Griebenwurst	Blutwurst mit beigemengten Speckgrieben	7565	
Hand-koffer	kleiner Reisekoffer	7850	
her-zus, -zusig	auf dem Herweg	9500	
rostig	rot, vom Haar	5210	
ein-brennen	ausschwefeln (Fässer)	7470	
Lechem	Brot (Musikantenspr)	5910	
schleifen-lassen	nachgiebig sein, vernachlässigen	6560	
an-legen	sich mit jemand a.	6333	
Zweit-läuten	das zweite Glockenläuten vor dem Gottesdienst	8830	
Bock-schneider	wer beim Klickerspiel alle Klicker verloren hat	7370	
Stumpel	Puppe aus Lumpen	7360	
Paß-partu	Wechselrahmen für Bilder	8600	
Gauls-, Gäuls-futter	saure Gräser	3400	
Galle	Absonderung der Leber	5340	
kugeln	wie eine Kugel rollen	9800	
Alben	weiße Weintrauben	7470	
Schmiere	Schmiermittel für Scharniere, Apparate, Radlager am Wagen	7500	
Hühner-auge	schmerzhafte Hornhautbildung am Fuß	5700	MEHRDEUTIG (3 Treffer) - erster Treffer gewaehlt (Band 3, Kennung -, Zeile 15232); 2 weitere Kandidat(en) ignoriert
Halter	Stift auf der Deichsel, der das Herausgleiten der Haltekette verhindert	7403	
Waffel(n)-teig	Teig für Waffeln	5910	
Kratz-vogel	Spaßvogel, der andere gern hänselt	7220	
Kasten-ofen	kastenförmiger Ofen mit und ohne Aufsatz aus Blech	7750	
Floh-, Flöhe-falle	wer besonders leicht von Flöhen befallen wird	5120	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 2, Kennung -, Zeile 15698); 1 weitere Kandidat(en) ignoriert
Medem-land	aus Waldrodung entstandenes, gegen Abgabe überlassenes Land	8221	
Gewitter-eva	bösartige Frau mit Namen Eva	6132	
Bohnen-kraut	die Pflanze Satureia hortensis	3700	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 1, Kennung -, Zeile 12115); 1 weitere Kandidat(en) ignoriert
rollen	Das mit Wasser gefüllte Faß schwenkend reinigen	9230	"eindeutig ueber Volltext ""(W) Das mit Wasser gefüllte Faß schwenkend reinigen"" (fuehrender Klammerzusatz entfernt)"
Ä-Bäckel	Kuß von einem kleinen Kind	6332	
Gelbrüben-tanz	Mazurka (Tanz)	8740	
ein-legen	Rast machen	9800	"eindeutig ueber Volltext ""(W) Rast machen"" (fuehrender Klammerzusatz entfernt)"
Kinder-wesen	Benehmen der Kinder (von kindischem Verhalten Erwachsener)	7020	"eindeutig ueber Volltext ""(abwertend) Benehmen der Kinder (von kindischem Verhalten Erwachsener)"" (fuehrender Klammerzusatz entfernt)"
Ge-leit	Begleitung	9312	
Schnaps	Tadel, Strafpredigt, Zurechtweisung, Staucher	6333	
Jägdlerei	Jägerei	7550	
Schneise	geradliniger Durchhau im Wald, Weg zwischen zwei Waldstücken	7550	
Ketten-ring	Ring am Geschirr der Zugtiere, durch den der Strang der Lanne geht	7403	
Zuckerbrot-form	Förmchen für Plätzchenteig	7560	
Kessel	kesselförmige Vertiefung beim Spiel Hurrsau	7360	
Bämperlein	männliches Glied	5200	MEHRDEUTIG (13 Treffer) - erster Treffer gewaehlt (Band 1, Kennung -, Zeile 6658); 12 weitere Kandidat(en) ignoriert
wäckeln	beruhigend am Kinderwagen wackeln	5830	
schleppen	eine Last hinter sich her ziehen	7800	
stäbeln	unbeholfen gehen, umherstampfen (von Kindern, die laufen lernen)	5830	
Hand-gaul	das im Zweiergespann links gehende Pferd	7403	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 3, Kennung -, Zeile 7621); 1 weitere Kandidat(en) ignoriert
Wieder-verkau	das Wiederkäuen der Tiere	4111	
Zu-kost	Brotaufstrich	5910	
Raff-zähne	große Schneidezähne	5360	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 5, Kennung -, Zeile 3619); 1 weitere Kandidat(en) ignoriert
Bock	Made, Larve im Obst	4700	
Queck-holder, Quack-	Wacholder (Juniperus communis)	3220	
schlabb(e)rig	nicht fest, wabbelig	9220	
Pirmans-gericht	das vom Kloster Hornbach bestellte Gericht	8300	
Wiechen, Wiecher	heraushängender Nasenschleim	5340	
herum-bitzeln	ohne rechte Lust in kleinen Bissen essen	5910	
sprenzeln	mit Wasser besprengen, gießen	9315	
Stänker-fritz	Quertreiber, der gerne Unfrieden stiftet und Zwietracht sät	6122	
Knatsch	unausgebackener Kuchen	7560	
Fliegen-orchis	Orchideenart, deren Blüte der Fliege ähnlich ist	3500	
Gockel(s)-schnabel	Schnabel des Hahns	4240	
Krach-darm	wer oft hörbare Winde streichen läßt	6116	
Hessen	das Land Hessen	8160	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 3, Kennung -, Zeile 11783); 1 weitere Kandidat(en) ignoriert
er-gattern	auf geschickte Weise verschaffen	6420	
sagen	bedeuten, besagen	9330	
debattieren	etwas lebhaft erörtern	7200	
Geiß(en)-tutte	Traube mit länglichen Beeren	7470	
Krappen-nest	Nest der Rabenkrähe, der Saatkrähe	4210	
Ziemer	der Rücken eines Hasen, eines Rehes	4130	
Reiß-haken	Hemmschuh mit scharfen Eisenzacken, der bei Glatteis verwendet wird	7403	MEHRDEUTIG (3 Treffer) - erster Treffer gewaehlt (Band 5, Kennung 2, Zeile 5157); 2 weitere Kandidat(en) ignoriert
Jäger	Gott Wodan	8810	
dar-ein, -in	in etwas	9300	
sammich	sechzig	9320	
ver-klickern	durchbringen, verjubeln	6560	
Boz(en)-mann	Fastnachtsnarr	7310	
Rinne	mit Geröll gefüllter Abzugsgraben	7900	
Kegel-gesellschaft	Kegelklub	7390	
hinaus-tappen	mit schwerem Schritt nach draußen gehen	5532	
los-hacken	durch Hacken lockern	9311	
Juden-wagen	schlechter Wagen	7403	
Wald-knecht	Gehilfe des Waldaufsehers	7550	
aus-backen	gut durchbacken	7560	
Kuh-zins, Küh-	Abgabe für eine Kuh	8220	
brütig	zum Brüten neigend, brütend	4240	
Zwiebel-bock	samentreibender Zwiebeltrieb	3400	
ge-wöhnlich	von niedriger Gesinnung	6280	
ab-glitschen	abgleiten	5550	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 1, Kennung x1, Zeile 426); 1 weitere Kandidat(en) ignoriert
Kopf-ring	Polsterring zum Tragen von Lasten auf dem Kopf	5932	
Ge-bruttel	Kaffeegetränk, in dem Rückstände schwimmen	5920	
Wäsch-eimer	Eimer, in den die Wäsche nach dem Auswaschen kommt	7770	
Post-meister	Leiter eines Postamtes	7840	
fliegen	sich hin und her bewegen, flattern	9800	
Auszieh-tisch	Tisch, dessen Platte ausgezogen wird	7730	
Be-stand	Nutzbäume eines Forstreviers	7550	
Ham-muh	Kuh (KS und Lockruf)	4111	
hitzig	von fieberigen Krankheiten	5700	
hinan-können	hingelangen können	9500	
dito	desgleichen	9312	
Himbeer(en)-kräutchen	Reseda (Reseda odorata)	3500	
Gelze	leichterer Rausch	5925	
Sums	Aufhebens, Getue, Kram	9400	"eindeutig ueber Volltext ""(abschätzig) Aufhebens, Getue, Kram"" (fuehrender Klammerzusatz entfernt)"
vorbei-kommen	vorbeigehen	5530	
Übungs-stunde	festgelegte Zeit zum Üben	8400	
Julien-suppe	Gemüsesuppe	5911	
Maul-streich	Schlag auf den Mund	5521	
sicher	sicherlich, gewiß	6440	
Grüneblumen-salat	Salat aus den Blättern des Löwenzahns	5911	MEHRDEUTIG (3 Treffer) - erster Treffer gewaehlt (Band 3, Kennung -, Zeile 5975); 2 weitere Kandidat(en) ignoriert
Krach-eisen	streitsüchtige Frau	6132	
Web-schule	Schule für angehende Weber	7545	
zahl-reich	in großer Anzahl	9400	
Druschel-kuchen	Stachelbeerkuchen	5911	MEHRDEUTIG (3 Treffer) - erster Treffer gewaehlt (Band 2, Kennung -, Zeile 5870); 2 weitere Kandidat(en) ignoriert
Dick-kopf	für Protestanten, von Katholiken gebraucht	8820	
lassen, lan	etwas belassen, überlassen, zurücklassen	9800	
heraus-sein	hinter sich haben	9314	
Scharlotte (Charlotte)	Lokomotive des Kuseler Zuges	7830	"eindeutig ueber Volltext ""(sch) Lokomotive des Kuseler Zuges"" (fuehrender Klammerzusatz entfernt)"
um	einen genauen oder ungefähren Zeitpunkt bezeichnend	9600	
Dünger-schüssel	Schüssel, aus der der Kunstdünger ausgestreut wird	7402	
klopfen, klöpfen	durch Klopfen etwas reinigen	7480	
Plapper-käthe	Klatschbase	6135	MEHRDEUTIG (7 Treffer) - erster Treffer gewaehlt (Band 1, Kennung -, Zeile 10813); 6 weitere Kandidat(en) ignoriert
Stumpf-ohr	kleines, kurzes Ohr; kupiertes Hundeohr	5210	
Hansel, Hänsel	Begleiter des Christkindes	7350	
Zargung	Einfassungsrand des Tisches	7730	
Bräune	Diphterie (Halskrankheit)	5700	
hinauf-ziehen	etwas hinaufziehen	9800	
mürbe	Mürbegebäck	5911	
Schmerzen(s)-geld	Entschädigung für erlittene Schmerzen in Form von Geld	8300	
Leckschmier-kessel	Kessel zum Pflaumenmuskochen	7735	
Passagier	Drückeberger	6550	
blenden	beim Rebschnitt die obersten Augen entfernen	7470	
ab-rennen	durch Rennen abstoßen, abreißen, beschädigen	5530	
Schlier-backen	Wange mit Geschwürnarben	5210	
Ofen-krüstchen	auf der Herdplatte geröstete Kartoffeln	5911	
durch-treten	durch Treten abnützen	9130	
Spreu-kissen	mit Spreu gefüllter Bettsack oder Bettbezug	7730	
Stauchen	wollener Kniewärmer	5932	
Klee-feld	Kleeacker	7420	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 4, Kennung x, Zeile 3333); 1 weitere Kandidat(en) ignoriert
Ge-schmeiß	Schmeißfliegen und deren Maden; Ungeziefer überhaupt	4700	
Blümel-klee	Klee (Trifolium)	3400	
Zivil	normale Kleidung im Unterschied zur Uniform	5932	MEHRDEUTIG (4 Treffer) - erster Treffer gewaehlt (Band 6, Kennung -, Zeile 15862); 3 weitere Kandidat(en) ignoriert
Locken-fritz	Mensch mit dichtem, lockigem Haar	5120	
Kuh-delle, Küh-	FlN, Viehweide	8140	MEHRDEUTIG (3 Treffer) - erster Treffer gewaehlt (Band 4, Kennung -, Zeile 7577); 2 weitere Kandidat(en) ignoriert
Huppser	der zusammengewachsene Schlüsselbeinknochen des Hahns	4240	
Ge-juchze, -jukse	lautes Jauchzen	5560	
Finsternis	Verfinsterung der Sonne, des Mondes	2100	
Holle-ho	gedeckter Apfelkuchen	5911	
unter-ziehen	darunter anziehen	5932	
Fast-nacht	Sonntag nach der Fastnacht, Sonntag Invokavit	8860	"eindeutig ueber Volltext ""(W) Sonntag nach der Fastnacht, Sonntag Invokavit"" (fuehrender Klammerzusatz entfernt)"
Porträt	Bild, Photographie	8600	
Grundbirn(en)-bütte	Bütte zum Waschen der Kartoffeln	7735	
Lad-wein	Entlohnung in Wein für Ladearbeiten	7620	
Kapitalist	wer viel Geld hat	7010	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 4, Kennung 1, Zeile 705); 1 weitere Kandidat(en) ignoriert
heim-treiben	nach Hause treiben	9500	
Schwinge	Windhölzer am Heuwagen	7403	
Boten-frau	Frau, die Botengänge machte	7500	
pflanzen	anbauen	7440	
schlucken, schlücken	Speisen, Getränke herunterschlucken, Schluckbewegungen machen	5360	
Georg	Sankt Georg und der ihm geweihte Tag (23. April)	8860	
ane-wackeln	schwerfällig-wackelnd dahingehen	5530	
Anwaag-stange	Stange, die zur Anwaage gehört	7500	
Roller	Fuhrmann	7403	
Futter-, Fütter-gelbrübe	gelbe Futterrübe	3400	
knuspern	zwischen den Mahlzeiten essen	5910	
Spalier-wingert	Weinberg, in dem die Reben an Spalieren gezogen werden	7470	
Frei-zins	Abgabe von besonderen Grundstücken	8220	
Schutt-haufen	Mülldeponie	8220	
Kästen-zeit	Reifezeit der Edelkastanien	3120	
Schmiede	Gericht, Justiz	8300	"eindeutig ueber Volltext ""(W) Gericht, Justiz"" (fuehrender Klammerzusatz entfernt)"
ver-schleudern, -schlaudern	unter dem Wert verkaufen, verramschen	7600	
Zwilling	durch Schlauchpilz verursachte Mißbildung an Zwetschgen	3120	
Stinkadores, Stinkadori, Stinkadoria	die Zigarre, schlechter Tabak	5921	
Treber	Preßrückstand beim Keltern	7470	
A-mal	Muttermal	5210	MEHRDEUTIG (16 Treffer) - erster Treffer gewaehlt (Band 1, Kennung 1, Zeile 2157); 15 weitere Kandidat(en) ignoriert
Wald-hütte	Schutzhütte im Wald	7550	
Blech-schwätzer, -schwätzerin	wer Unsinniges daherredet	6117	
Knöpf-schuhe, Knopf-	Schuhe zum Zuknöpfen	5937	
blümerant	unwohl, schwindelig	5700	
strubbelig	durcheinander, verwirrt	9320	
Nacht-brenner	Nacht-, Mordbrenner	8310	
Herrgotts-gabel	die fünf Finger der Hand	5200	
vor-sehen	auf der Hut sein	6450	
Reh-fuß	krummes Tisch- oder Stuhlbein	7730	
Tanz-meister	Tanzlehrer	8740	
Grundbirn(en)-auge	Keimansatz der Kartoffel	3400	
Felge	Teil des Wagenrades, das die Bereifung trägt	7820	
ent-fallen	aus dem Gedächtnis entschwinden	6230	
rotzig	an der Pferdekrankheit Rotz leidend	4112	
Schlampampe	Schmaus, Freß- und Saufgelage, Lustbarkeit	7330	
ver-tatschen	ungeschickt anfassen und dabei zerdrücken oder beschmieren	5520	
Fries(en)-haue	Gerät zum Ausheben von Gräben	7900	
Driesch-wiese	trockene Wiese	7450	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 2, Kennung -, Zeile 5221); 1 weitere Kandidat(en) ignoriert
durch-schmeißen	hindurchwerfen	9800	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 2, Kennung -, Zeile 6780); 1 weitere Kandidat(en) ignoriert
Ge-häuse	Ohr für den Stiel an Geräten	7500	
billern	auf dem Zahnfleisch kauen	5360	
an-mären	ein Schiff anlegen und mit Stricken anbinden	7820	
durch-schwimmen	schwimmend überqueren	7340	
Fuchsia, Fuchsie	der Zierstrauch Fuchsia gracilis	3800	MEHRDEUTIG (2 Treffer) - erster Treffer gewaehlt (Band 2, Kennung -, Zeile 17865); 1 weitere Kandidat(en) ignoriert
Ferse, Ferst	Ferse des Strumpfes	5937	
häupt	wichtigst, hauptsächlich	9240	
